Method,Accuracy,Precision,Recall,F1 Score,AUC
LDA (1) + Logistic Regression,0.7696,0.774,0.7678,0.7678,0.1659
LDA (1) + SVM,0.7644,0.7679,0.7627,0.7627,0.1809
LDA (1) + Perceptron,0.7644,0.7679,0.7627,0.7627,0.1659
LDA (1) + KNN,0.7382,0.7384,0.7375,0.7376,0.1898
LDA (1) + Decision Tree,0.7068,0.7069,0.7061,0.7062,0.2939
PCA (2) + SVM,0.6754,0.6824,0.6724,0.6697,0.315
PCA (5) + Logistic Regression,0.6702,0.6761,0.6673,0.6649,0.3075
PCA (3) + Logistic Regression,0.6597,0.6628,0.6574,0.6559,0.3062
PCA (5) + SVM,0.6597,0.67,0.656,0.6511,0.3009
PCA (2) + Logistic Regression,0.6492,0.6519,0.6469,0.6453,0.307
PCA (3) + SVM,0.6545,0.6653,0.6506,0.6451,0.3273
PCA (5) + KNN,0.644,0.6437,0.6437,0.6437,0.3128
PCA (3) + KNN,0.6335,0.6332,0.6327,0.6327,0.3426
PCA (2) + Perceptron,0.6387,0.664,0.6331,0.6185,0.3308
PCA (5) + Decision Tree,0.6178,0.6175,0.6174,0.6174,0.3826
PCA (5) + Perceptron,0.6335,0.6531,0.6283,0.6158,0.3142
PCA (3) + Decision Tree,0.6021,0.6018,0.6018,0.6018,0.3982
PCA (2) + Decision Tree,0.5812,0.5814,0.5814,0.5811,0.4186
PCA (2) + KNN,0.5812,0.5814,0.5814,0.5811,0.3778
PCA (3) + Perceptron,0.5969,0.6305,0.5896,0.5589,0.422
